specno,taxon,pos,tribe,sex,mass_g,elev,conn,m_connd,connd,bv,tv,bvtv,tbth,tbth.sd,tbth.max,da,tbsp,tbsp.sd,tbsp.max,loco,hab_simp,genus
218302,Apomys_banahao,,chroto,f,77,1625,227,35303.26594,13968.12,0.00182,0.00643,0.2830482115,0.009809,0.001842,0.01539,0.633136,0.02683371,0.01155162,0.05142744,scans,montane,Apomys
218305,Apomys_banahao,,chroto,m,82,1625,268,32603.40633,13283.81,0.00255,0.00822,0.3102189781,0.010391,0.002205,0.018652,0.622404,0.02732536,0.01230015,0.06112773,scans,montane,Apomys
218312,Apomys_banahao,,chroto,f,74,1625,227.25,32510.72961,13131.08,0.00232,0.00699,0.3319027182,0.010394,0.002039,0.019193,0.662849,0.02630633,0.01210358,0.05974493,scans,montane,Apomys
218313,Apomys_banahao,,chroto,m,85,1625,191.25,25671.14094,10053.06,0.00157,0.00745,0.210738255,0.008884,0.001896,0.015314,0.591256,0.03447302,0.01798198,0.07863201,scans,montane,Apomys
218341,Apomys_banahao,,chroto,m,82,2030,303,45701.35747,16796.09,0.00171,0.00663,0.257918552,0.009774,0.002454,0.018194,0.621856,0.02648114,0.0121474,0.05541068,scans,mossy,Apomys
218343,Apomys_banahao,,chroto,f,69,2030,243.25,41867.46988,15679.08,0.00156,0.00581,0.2685025818,0.009197,0.00195,0.015858,0.601702,0.02724318,0.01608411,0.07307947,scans,mossy,Apomys
236308,Apomys_datae,,chroto,m,76,1945,108.75,20327.1028,7442.567,0.0016,0.00535,0.2990654206,0.009758,0.002432,0.018873,0.698279,0.02546171,0.01058183,0.04868754,scans,mossy,Apomys
236309,Apomys_datae,,chroto,m,71,1945,96,15047.02194,6114.833,0.00142,0.00638,0.2225705329,0.009339,0.00204,0.015811,0.730902,0.03667702,0.02178053,0.08181772,scans,mossy,Apomys
236310,Apomys_datae,,chroto,f,53,1945,172.5,34569.13828,13115.66,0.00102,0.00499,0.2044088176,0.008224,0.001812,0.013974,0.685206,0.03048968,0.01597869,0.06684598,scans,mossy,Apomys
236316,Apomys_datae,,chroto,f,67,1945,138,17402.26986,7056.2,0.0018,0.00793,0.2269861286,0.009429,0.00198,0.016601,0.668517,0.03970989,0.02522826,0.09437291,scans,mossy,Apomys
